Gene1	Gene2	G1_cor	G1_pVal	G0_cor	G0_pVal	zScoreDiff	pValDiff	pValDiff_adj	Classes	AIC	TPrate
RPL36A	RPL31	0.210481921650065	1.14173430709741e-07	0.698089036919929	0	12.7276835701995	4.149685478239e-37	4.149685478239e-37	+/+	8851.36112832989	0.235196458218041
RPS3A	RPL31	0.583105130947581	0	0.804492473933558	0	8.69672588473394	3.41597291794202e-18	3.41597291794202e-18	+/+	10469.507532713	0.235196458218041
CTSS	RPL31	-0.240863064855619	1.13094422715676e-09	-0.622893764998832	0	-9.47944248406943	2.5564525773687e-21	2.5564525773687e-21	-/-	11117.1346704864	0.230769230769231
RPL10	RPL31	0.388002539870938	0	0.642797539267808	0	6.92270842113752	4.43089185249033e-12	4.43089185249033e-12	+/+	13156.5161698909	0.229662423907028
B2M	RPL31	-0.536080396027046	0	-0.757675728708831	0	-7.67898600134511	1.6035275534431e-14	1.6035275534431e-14	-/-	15816.3478801256	0.228002213613724
RPS7	RPL31	0.598490234164876	0	0.84492279748677	0	10.7194085790487	8.25293529749064e-27	8.25293529749064e-27	+/+	10365.9312026212	0.219701162147205
SRGN	RPL31	-0.296072929834763	4.52970994047064e-14	-0.726251247061392	0	-12.0549756060438	1.82586544954832e-33	1.82586544954832e-33	-/-	9718.36219052921	0.216934144991699
ATP6V1G1	RPL31	-0.258624329993488	5.59710056080576e-11	-0.634941964917731	0	-9.4988331002251	2.12255373922202e-21	2.12255373922202e-21	-/-	1419.03432058597	0.192584394023243
RAC1	RPL31	0.00811251970389021	0.839850348393334	-0.553271334446888	0	-12.3616209335956	4.21569275613333e-35	4.21569275613333e-35	0/-	3857.39824952166	0.189817376867737
RPL29	RPL31	0.0179795833247188	0.654221921107717	0.518598837100266	0	10.8975559528664	1.18394784237068e-27	1.18394784237068e-27	0/+	10610.6261985099	0.186496956281129
RPL19	RPL31	0.508555634507199	0	0.820518935867165	0	11.7041268504782	1.21402470067468e-31	1.21402470067468e-31	+/+	11264.238924192	0.156059767570559
CALM2	RPL31	-0.433231578552364	0	-0.678188369816897	0	-7.08728846018157	1.36765124623442e-12	1.36765124623442e-12	-/-	7663.30817938749	0.144991698948533
RGS2	RPL31	-0.0417762859071684	0.297831368898891	-0.420393173240069	0	-7.95850429951682	1.74131347644377e-15	1.74131347644377e-15	0/-	7845.46168183187	0.144438295517432
DDX5	RPL31	-0.0559415767521766	0.163140107094903	-0.443803131985081	0	-8.244200084755	1.66268735171675e-16	1.66268735171675e-16	0/-	5472.30502263508	0.110127282789153
